employers_fixed,Count,initial_penalty_cleaned
Dollar Tree/Family Dollar (similar names merged),147,27508719.0
U.S. Postal Service (similar names merged),126,11778822.0
Dollar General (similar names merged),124,24653949.0
Target (similar names merged),19,1624413.0
Kaiser (similar names merged),16,1249885.0
AMERICA 1ST ROOFING & BUILDERS INC,10,1165340.0
The Goodyear Tire & Rubber Company,10,1926847.0
YOUNG CORP,9,2013120.0
"Great White Construction, Inc.",9,2210662.0
"Berlin Builders, Inc.",8,586246.0
